id;date;details;status;payment_method;payment_date;payment_amount
1;2020-03-02T17:35:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-03-03T01:57:57;64379
2;2020-03-02T14:25:56;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-03-02T19:36:14;17323
3;2020-03-02T18:53:21;Incredible Baby;CANCELLED;PAYPAL;2020-03-02T22:25:02;11017
4;2020-03-02T16:23:16;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-03-02T16:27:24;51438
5;2020-03-02T11:03:24;function;PAID;PAYPAL;2020-03-03T03:37:29;32278
6;2020-03-02T12:03:12;action-items;CANCELLED;CASH_ON_DELIVERY;2020-03-03T01:50:24;5232
7;2020-03-03T04:49:55;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-03-02T22:27:17;62169
8;2020-03-02T14:44:59;Toys;ISSUED;PAYPAL;2020-03-03T01:22:56;10756
9;2020-03-02T16:15:24;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-03-03T05:58:57;58055
10;2020-03-02T14:53:09;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-03-03T03:19:20;94075
