id;placed_date;status;code
1;2020-03-03T00:57:50;COMPLETED;Georgia calculate withdrawal
2;2020-03-02T11:54:20;COMPLETED;compress Steel out-of-the-box
3;2020-03-02T13:25:32;PENDING;Concrete
4;2020-03-03T02:51:27;CANCELLED;Investment Account
5;2020-03-02T14:08:17;PENDING;United States of America
6;2020-03-03T04:20:21;CANCELLED;IB Industrial Credit Card Account
7;2020-03-03T07:26:46;CANCELLED;Cotton Egyptian Pound
8;2020-03-02T16:22:50;COMPLETED;Home Loan Account
9;2020-03-03T01:17:06;COMPLETED;Human
10;2020-03-02T11:25:44;CANCELLED;payment
